type,status,date,slug,title,chars,link
page,private,2012-09-17,tervetuloa,Tervetuloa,820,https://mattiheino.com/tervetuloa/
page,private,2012-11-03,reflektiota-oppimisesta-pohdintaa-lahtotilanteesta,Reflektiota oppimisesta: pohdintaa lähtötilanteesta,1598,https://mattiheino.com/johdatus-kayttaytymisarkkitehtuuriin/reflektiota-oppimisesta-pohdintaa-lahtotilanteesta/
post,publish,2012-11-04,millaiset-asiat-ovat-sinulle-helppoja,Millaiset asiat ovat sinulle helppoja? Johdatus käyttäytymisarkkitehtuuriin,3198,https://mattiheino.com/2012/11/04/millaiset-asiat-ovat-sinulle-helppoja/
page,private,2012-12-01,sisallysluettelo,Sisällysluettelo,202,https://mattiheino.com/sisallysluettelo/
page,publish,2012-12-01,johdatus-kayttaytymisarkkitehtuuriin,Johdatus käyttäytymisarkkitehtuuriin,2604,https://mattiheino.com/johdatus-kayttaytymisarkkitehtuuriin/
page,private,2012-12-02,yhteistyon-manifesti,Yhteistyön manifesti,7635,https://mattiheino.com/johdatus-kayttaytymisarkkitehtuuriin/yhteistyon-manifesti/
post,publish,2012-12-02,yhteistyon-manifesti,Yhteistyön manifesti,6236,https://mattiheino.com/2012/12/02/yhteistyon-manifesti/
page,publish,2012-12-08,10-taitoa,Työmarkkinoiden uudet vaateet,8104,https://mattiheino.com/10-taitoa/
post,publish,2012-12-21,harjoitukset-alkavat,Harjoitukset alkavat,2964,https://mattiheino.com/2012/12/21/harjoitukset-alkavat/
post,draft,2012-12-29,uusi-vuosi-vanha-tyo,Evoluutiopsykologian neuvot työolojen parantamiseksi,1514,https://mattiheino.com/?p=222
post,publish,2013-01-29,mita-jai-kertomatta,"Muistatko, mitä sinulle ei kerrottu?",3903,https://mattiheino.com/2013/01/29/mita-jai-kertomatta/
page,private,2013-01-30,parempaa-ajattelua-rakentamassa,Parempaa ajattelua rakentamassa,33,https://mattiheino.com/johdatus-kayttaytymisarkkitehtuuriin/parempaa-ajattelua-rakentamassa/
post,publish,2013-02-17,tavallista-vai-taikaa,Tavallista vai taikaa,4079,https://mattiheino.com/2013/02/17/tavallista-vai-taikaa/
post,publish,2013-04-24,aloita-ennen-kuin-lopetat,Aloita ennen kuin lopetat,4340,https://mattiheino.com/2013/04/24/aloita-ennen-kuin-lopetat/
post,publish,2013-05-26,tunnista-muumiosi,Neljä tapaa tunnistaa sisäinen muumiosi,2985,https://mattiheino.com/2013/05/26/tunnista-muumiosi/
